topic_id,topic_title,topic_url,forum_name,actual_start_date,actual_year,date_confidence,character
61611572,"Nulla più, solo loro, in mezzo al buio.",https://fengardgiocate.forumcommunity.net/?t=61611572,NECROMUNDA,2006-04-28,2006,high,knives
61611572,"Nulla più, solo loro, in mezzo al buio.",https://fengardgiocate.forumcommunity.net/?t=61611572,NECROMUNDA,2006-04-28,2006,high,Maxi
61611572,"Nulla più, solo loro, in mezzo al buio.",https://fengardgiocate.forumcommunity.net/?t=61611572,NECROMUNDA,2006-04-28,2006,high,Mekylius
56981410,"Punto uno la giovinezza, poi la bellezza, ancora la dolcezza, l'arrendevolezza, l'eleganza..",https://fengardgiocate.forumcommunity.net/?t=56981410,FENGARD,2006-04-30,2006,high,Dibbe
56981410,"Punto uno la giovinezza, poi la bellezza, ancora la dolcezza, l'arrendevolezza, l'eleganza..",https://fengardgiocate.forumcommunity.net/?t=56981410,FENGARD,2006-04-30,2006,high,Efe
56981410,"Punto uno la giovinezza, poi la bellezza, ancora la dolcezza, l'arrendevolezza, l'eleganza..",https://fengardgiocate.forumcommunity.net/?t=56981410,FENGARD,2006-04-30,2006,high,Evil
56981410,"Punto uno la giovinezza, poi la bellezza, ancora la dolcezza, l'arrendevolezza, l'eleganza..",https://fengardgiocate.forumcommunity.net/?t=56981410,FENGARD,2006-04-30,2006,high,Fortesque
56981410,"Punto uno la giovinezza, poi la bellezza, ancora la dolcezza, l'arrendevolezza, l'eleganza..",https://fengardgiocate.forumcommunity.net/?t=56981410,FENGARD,2006-04-30,2006,high,Loriel
56981410,"Punto uno la giovinezza, poi la bellezza, ancora la dolcezza, l'arrendevolezza, l'eleganza..",https://fengardgiocate.forumcommunity.net/?t=56981410,FENGARD,2006-04-30,2006,high,Luxer
56981410,"Punto uno la giovinezza, poi la bellezza, ancora la dolcezza, l'arrendevolezza, l'eleganza..",https://fengardgiocate.forumcommunity.net/?t=56981410,FENGARD,2006-04-30,2006,high,merlinho
56981410,"Punto uno la giovinezza, poi la bellezza, ancora la dolcezza, l'arrendevolezza, l'eleganza..",https://fengardgiocate.forumcommunity.net/?t=56981410,FENGARD,2006-04-30,2006,high,Natan
56981410,"Punto uno la giovinezza, poi la bellezza, ancora la dolcezza, l'arrendevolezza, l'eleganza..",https://fengardgiocate.forumcommunity.net/?t=56981410,FENGARD,2006-04-30,2006,high,Phage
56981410,"Punto uno la giovinezza, poi la bellezza, ancora la dolcezza, l'arrendevolezza, l'eleganza..",https://fengardgiocate.forumcommunity.net/?t=56981410,FENGARD,2006-04-30,2006,high,Sealyan
56981410,"Punto uno la giovinezza, poi la bellezza, ancora la dolcezza, l'arrendevolezza, l'eleganza..",https://fengardgiocate.forumcommunity.net/?t=56981410,FENGARD,2006-04-30,2006,high,Shimal
56981410,"Punto uno la giovinezza, poi la bellezza, ancora la dolcezza, l'arrendevolezza, l'eleganza..",https://fengardgiocate.forumcommunity.net/?t=56981410,FENGARD,2006-04-30,2006,high,Veris
56981410,"Punto uno la giovinezza, poi la bellezza, ancora la dolcezza, l'arrendevolezza, l'eleganza..",https://fengardgiocate.forumcommunity.net/?t=56981410,FENGARD,2006-04-30,2006,high,Zamir
56981410,"Punto uno la giovinezza, poi la bellezza, ancora la dolcezza, l'arrendevolezza, l'eleganza..",https://fengardgiocate.forumcommunity.net/?t=56981410,FENGARD,2006-04-30,2006,high,Zingrid
14329541,A piedi.. nudi nel parco..,https://fengardgiocate.forumcommunity.net/?t=14329541,FENGARD,2006-05-01,2006,high,Allyrion
14329541,A piedi.. nudi nel parco..,https://fengardgiocate.forumcommunity.net/?t=14329541,FENGARD,2006-05-01,2006,high,Archam
14329541,A piedi.. nudi nel parco..,https://fengardgiocate.forumcommunity.net/?t=14329541,FENGARD,2006-05-01,2006,high,Cathein
14329541,A piedi.. nudi nel parco..,https://fengardgiocate.forumcommunity.net/?t=14329541,FENGARD,2006-05-01,2006,high,Fefalas
14329541,A piedi.. nudi nel parco..,https://fengardgiocate.forumcommunity.net/?t=14329541,FENGARD,2006-05-01,2006,high,Lilithas
14329541,A piedi.. nudi nel parco..,https://fengardgiocate.forumcommunity.net/?t=14329541,FENGARD,2006-05-01,2006,high,Manadriel
